Call_Type,Status,Audit_Date,Call_Frequency
Alcoholic Beverage - New Years Day Hours of Sale,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
CCH/III Request,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Canvassing/Peddling Permit,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Cleared - Arrest,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Computer Issue - Desktop,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Contempt of Court - 2C:29-9,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Cooperative Arrest - South Hackensack,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Court - Municipal Prisoner,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Docket - Drop Off,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Docket - Pick up,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Hazardous Condition - Health/Welfare,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Injured on Duty,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Interference - 2C:29-1,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Landlord/Tenant Dispute,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Motor Vehicle Crash - w/injury,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Relief/Personal,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Sex Offender - Address Verification,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Sex Offender - Removal Order,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Sex Offender - Serve Tier Papers,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Traffic Sign/Signal Malfunction,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Tree Limb Down,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Violation FRO - 2C:29-9b,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
Violation TRO - 2C:29-9b,MISSING_RESPONSE_TYPE,2025-11-16 21:57:40,1
